id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID000037,13.0453131,77.5055565,"Nelagadaranahalli Main Road, Nelakadirena Halli, T Dasarahalli, Bengaluru, Karnataka. Pin-560073 (India)",FKN00GL0037,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-17 21:28:46+00,,2023-11-17 21:53:25.671301+00,FKDEV00022,FKUSR00022,20.0,Peenya,True,No Junction,,,FKN00GL0037,SCOOTER,approved,2023-11-18 23:57:21.917+00
FKID000038,12.996202,77.5631413,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",FKN00GL0038,SCOOTER,,"[""NO PARKING""]",[113],2023-11-18 04:42:46+00,,2023-11-18 04:43:45.833175+00,FKDEV00023,FKUSR00023,87.0,Sheshadripuram,True,No Junction,,,FKN00GL0038,SCOOTER,approved,2023-11-19 00:00:51.76+00
FKID000039,12.9701331,77.6412858,"12th Main Road, Sony World Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL0039,CAR,,"[""NO PARKING""]",[113],2023-11-17 04:25:46+00,,2023-11-17 04:45:11.769215+00,FKDEV00024,FKUSR00024,4.0,Jeevanbheemanagar,True,No Junction,,,FKN00GL0039,CAR,approved,2023-11-19 00:00:50.531+00
FKID000040,13.0067231,77.6877788,"MBT Road, ITI Township, KR Puram, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL0040,VAN,,"[""WRONG PARKING""]",[112],2023-11-17 20:26:46+00,,2023-11-17 21:36:53.353294+00,FKDEV00025,FKUSR00025,15.0,K.R. Pura,True,No Junction,,,FKN00GL0040,VAN,approved,2023-11-19 00:06:37.13+00
FKID000041,12.9397103,77.6954773,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0041,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:15:46+00,,2023-11-27 21:53:35.740497+00,FKDEV00026,FKUSR00026,13.0,HAL Old Airport,True,No Junction,,,FKN00GL0041,CAR,approved,2023-11-30 04:45:45.058+00
FKID000042,13.0714811,77.5677451,"Kodigehalli Road, Uthallappa Layout, Thindlu, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0042,CAR,,"[""WRONG PARKING""]",[112],2024-03-10 05:17:46+00,,2024-03-10 08:09:48.691762+00,FKDEV00021,FKUSR00021,,Kodigehalli,False,No Junction,,,,,,
FKID000043,12.9397348,77.6955295,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0043,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:14:46+00,,2023-11-27 21:53:32.437605+00,FKDEV00026,FKUSR00026,13.0,HAL Old Airport,True,No Junction,,,FKN00GL0043,MAXI-CAB,approved,2023-11-30 04:45:54.483+00
FKID000044,12.9755693,77.5816368,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0044,CAR,,"[""NO PARKING""]",[113],2023-12-17 06:07:46+00,,2023-12-19 05:20:21.200377+00,FKDEV00027,FKUSR00027,3.0,Upparpet,False,BTP038 - Mysore Bank Junction,,,,,,
FKID000045,12.9397473,77.6955013,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0045,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:14:46+00,,2023-11-27 21:53:34.896522+00,FKDEV00026,FKUSR00026,13.0,HAL Old Airport,True,No Junction,,,FKN00GL0045,MAXI-CAB,approved,2023-11-30 04:46:07.88+00
FKID000046,12.9397338,77.6954854,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0046,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:14:46+00,,2023-11-27 21:53:33.137219+00,FKDEV00026,FKUSR00026,13.0,HAL Old Airport,True,No Junction,,,FKN00GL0046,MAXI-CAB,approved,2023-11-30 04:46:30.965+00
FKID000047,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:43:19.027147+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000048,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:43:20.888249+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000049,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:43:35.793398+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000050,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:43:34.565101+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000051,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:43:41.075058+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000052,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:43:42.233339+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000053,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,,2024-03-10 07:44:01.194339+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000054,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,,2024-03-10 07:43:58.209654+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000055,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,,2024-03-10 07:44:00.633755+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000056,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,,2024-03-10 07:44:12.780732+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000057,12.841905,77.6455267,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0050,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,,2024-03-10 07:44:39.679082+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000058,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0051,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:12:46+00,,2024-03-10 07:44:22.239734+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000059,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0051,SCOOTER,,"[""WRONG PARKING""]",[112],2024-03-10 07:12:46+00,,2024-03-10 07:44:40.555696+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000060,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:34:46+00,,2024-03-10 07:44:23.62892+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000061,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:34:46+00,,2024-03-10 07:44:31.336282+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
FKID000062,12.9940425,77.5891127,"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0053,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 21:22:46+00,,2023-11-28 21:25:23.400315+00,FKDEV00029,FKUSR00029,11.0,High ground,True,BTP032 - Windsor Circle,,,FKN00GL0053,SCOOTER,approved,2023-11-30 04:47:14.559+00
FKID000063,12.9349413,77.5364074,"8th Main Road, Veerannana Guda, Veerabhadra Nagar, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",FKN00GL0054,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 21:20:46+00,,2023-11-28 21:21:50.796112+00,FKDEV00030,FKUSR00030,23.0,Banashankari,True,No Junction,,,FKN00GL0054,SCOOTER,approved,2023-11-30 04:47:28.887+00
FKID000064,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-03-10 07:34:46+00,,2024-03-10 07:44:35.235754+00,FKDEV00028,FKUSR00028,38.0,Electronic City,False,No Junction,,,,,,
